league,id,minute,result,X,Y,xG,player,h_a,player_id,season,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,is_goal,X_m,Y_m,shot_distance,shot_angle,dist2,angle2,angle_distance,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot,situation_FromCorner,situation_OpenPlay,situation_Penalty,situation_SetPiece,lastAction_BallRecovery,lastAction_BallTouch,lastAction_BlockedPass,lastAction_Card,lastAction_Challenge,lastAction_ChanceMissed,lastAction_Chipped,lastAction_Clearance,lastAction_CornerAwarded,lastAction_Cross,lastAction_CrossNotClaimed,lastAction_Dispossessed,lastAction_End,lastAction_Error,lastAction_FormationChange,lastAction_Foul,lastAction_Goal,lastAction_GoodSkill,lastAction_HeadPass,lastAction_Interception,lastAction_KeeperPickup,lastAction_KeeperSweeper,lastAction_LayOff,lastAction_OffsidePass,lastAction_OffsideProvoked,lastAction_Pass,lastAction_PenaltyFaced,lastAction_Punch,lastAction_Rebound,lastAction_Save,lastAction_ShieldBallOpp,lastAction_Standard,lastAction_Start,lastAction_SubstitutionOn,lastAction_Tackle,lastAction_TakeOn,lastAction_Throughball,predicted_xg
EPL,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Ligue_1,162544.0,26.0,SavedShot,0.845,0.32,0.0553892999887466,Moussa Konate,h,4670.0,2017.0,8595.0,Amiens,Nice,3.0,0.0,2017-08-26 19:00:00,,0,88.725,21.76,20.36401789922608,0.6448269771972645,414.6932250000002,0.4158018305213614,13.13126810554894,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0410046085462131
Serie_A,144767.0,78.0,MissedShots,0.8069999694824219,0.5840000152587891,0.0421442985534668,Antonino Ragusa,h,1481.0,2016.0,3534.0,Sassuolo,Palermo,4.0,1.0,2017-01-15 18:00:00,,0,84.7349967956543,39.71200103759766,21.05462682465919,0.2747375484166632,443.2973107256584,0.07548072050999835,5.78449655663458,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.049868779646164534
EPL,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Serie_A,490770.0,52.0,BlockedShot,0.915,0.5670000076293945,0.0201104991137981,Armando Izzo,a,1096.0,2022.0,18660.0,Sampdoria,Monza,0.0,3.0,2022-10-02 13:00:00,Stefano Sensi,0,96.075,38.556000518798825,10.020617033261729,0.4719934400963327,100.4127657272951,0.22277780749397041,4.7296655054171115,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03264528110897757
La_Liga,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Bundesliga,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Bundesliga,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Ligue_1,69684.0,30.0,SavedShot,0.925,0.4640000152587891,0.0716331005096435,Guido Carrillo,h,3424.0,2015.0,2134.0,Monaco,Troyes,3.0,1.0,2016-02-20 23:00:00,,0,97.125,31.55200103759766,8.246715947571065,0.3013873535125351,68.00832391992293,0.0908343368572898,2.4854558946080614,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1299126933165021
EPL,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Serie_A,558765.0,45.0,SavedShot,0.919000015258789,0.3959999847412109,0.1082212179899215,Walid Cheddira,a,11989.0,2023.0,22495.0,Atalanta,Frosinone,5.0,0.0,2024-01-15 19:45:00,Farès Ghedjemis,0,96.49500160217285,26.92799896240234,11.061111898124201,0.6936619278646752,122.34819642282477,0.48116687016893783,7.67267220357973,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.1730413366593792
Ligue_1,391277.0,53.0,MissedShots,0.7919999694824219,0.720999984741211,0.0178132001310586,Denis Bouanga,h,3781.0,2020.0,15893.0,Saint-Etienne,Angers,0.0,0.0,2020-12-11 20:00:00,Miguel Trauco,0,83.1599967956543,49.02799896240234,26.510874990837188,0.6026913265743662,702.8264927797967,0.36323683512796934,15.977874416874853,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.020820149837162887
La_Liga,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
